Xbrew,Ybrew,Xbrewnew,,,,
266,52,213,,,,
266,50,213,,,,
266,49,213,,,,
266,46,213,,,,
266,45,213,,,,
267,63,214,,,,
267,62,214,,,,
267,61,214,,,,
267,60,214,,,,
267,56,214,,,,
267,55,214,,,,
267,54,214,,,,
267,53,214,,,,
267,49,214,,,,
267,48,214,,,,
267,47,214,,,,
267,46,214,,,,
268,62,215,,,,
268,61,215,,,,
268,55,215,,,,
268,54,215,,,,
268,48,215,,,,
268,47,215,,,,
269,63,216,,,,
269,62,216,,,,
269,61,216,,,,
269,60,216,,,,
269,56,216,,,,
269,55,216,,,,
269,54,216,,,,
269,53,216,,,,
269,49,216,,,,
269,48,216,,,,
270,64,217,,,,
270,63,217,,,,
270,60,217,,,,
270,59,217,,,,
270,57,217,,,,
270,56,217,,,,
270,53,217,,,,
270,52,217,,,,
270,50,217,,,,
270,49,217,,,,
271,64,218,,,,
271,63,218,,,,
271,60,218,,,,
271,59,218,,,,
271,57,218,,,,
271,56,218,,,,
271,53,218,,,,
271,52,218,,,,
271,50,218,,,,
271,49,218,,,,
275,60,222,,,,
275,59,222,,,,
275,57,222,,,,
275,56,222,,,,
275,53,222,,,,
275,52,222,,,,
275,50,222,,,,
275,49,222,,,,
276,60,223,,,,
276,59,223,,,,
276,57,223,,,,
276,56,223,,,,
276,53,223,,,,
276,52,223,,,,
276,50,223,,,,
276,49,223,,,,
277,61,224,,,,
277,60,224,,,,
277,56,224,,,,
277,55,224,,,,
277,54,224,,,,
277,53,224,,,,
277,49,224,,,,
277,48,224,,,,
278,62,225,,,,
278,61,225,,,,
278,55,225,,,,
278,54,225,,,,
278,48,225,,,,
278,47,225,,,,
279,63,226,,,,
279,62,226,,,,
279,61,226,,,,
279,60,226,,,,
279,56,226,,,,
279,55,226,,,,
279,54,226,,,,
279,53,226,,,,
279,49,226,,,,
279,48,226,,,,
279,47,226,,,,
279,46,226,,,,
280,64,227,,,,
280,63,227,,,,
280,60,227,,,,
280,59,227,,,,
280,57,227,,,,
280,56,227,,,,
280,53,227,,,,
280,52,227,,,,
280,50,227,,,,
280,49,227,,,,
280,46,227,,,,
280,45,227,,,,
281,64,228,,,,
281,63,228,,,,
281,60,228,,,,
281,59,228,,,,
281,57,228,,,,
281,56,228,,,,
281,53,228,,,,
281,52,228,,,,
281,50,228,,,,
281,49,228,,,,
281,46,228,,,,
281,45,228,,,,
283,64,230,,,,
283,63,230,,,,
283,53,230,,,,
283,52,230,,,,
283,46,230,,,,
283,45,230,,,,
284,64,231,,,,
284,63,231,,,,
284,53,231,,,,
284,52,231,,,,
284,46,231,,,,
284,45,231,,,,
285,63,232,,,,
285,62,232,,,,
285,61,232,,,,
285,55,232,,,,
285,54,232,,,,
285,53,232,,,,
285,48,232,,,,
285,47,232,,,,
285,46,232,,,,
286,62,233,,,,
286,61,233,,,,
286,55,233,,,,
286,54,233,,,,
286,48,233,,,,
286,47,233,,,,
287,61,234,,,,
287,60,234,,,,
287,56,234,,,,
287,55,234,,,,
287,49,234,,,,
287,48,234,,,,
288,60,235,,,,
288,59,235,,,,
288,57,235,,,,
288,56,235,,,,
288,50,235,,,,
288,49,235,,,,
289,60,236,,,,
289,59,236,,,,
289,57,236,,,,
289,56,236,,,,
289,50,236,,,,
289,49,236,,,,
293,64,240,,,,
293,63,240,,,,
293,60,240,,,,
293,59,240,,,,
293,57,240,,,,
293,56,240,,,,
293,53,240,,,,
293,52,240,,,,
293,50,240,,,,
293,49,240,,,,
294,46,241,,,,
294,45,241,,,,
294,64,241,,,,
294,63,241,,,,
294,60,241,,,,
294,59,241,,,,
294,57,241,,,,
294,56,241,,,,
294,53,241,,,,
294,52,241,,,,
294,50,241,,,,
294,49,241,,,,
295,46,242,,,,
295,45,242,,,,
295,63,242,,,,
295,62,242,,,,
295,61,242,,,,
295,60,242,,,,
295,56,242,,,,
295,55,242,,,,
295,54,242,,,,
295,53,242,,,,
295,49,242,,,,
296,48,243,,,,
296,47,243,,,,
296,46,243,,,,
296,62,243,,,,
296,61,243,,,,
296,55,243,,,,
296,54,243,,,,
297,48,244,,,,
297,47,244,,,,
297,61,244,,,,
297,60,244,,,,
297,56,244,,,,
297,55,244,,,,
297,54,244,,,,
297,53,244,,,,
297,49,244,,,,
298,48,245,,,,
298,47,245,,,,
298,46,245,,,,
298,60,245,,,,
298,59,245,,,,
298,57,245,,,,
298,56,245,,,,
298,53,245,,,,
298,52,245,,,,
298,50,245,,,,
298,49,245,,,,
299,46,246,,,,
299,45,246,,,,
299,60,246,,,,
299,59,246,,,,
299,57,246,,,,
299,56,246,,,,
299,53,246,,,,
299,52,246,,,,
299,50,246,,,,
299,49,246,,,,
300,46,247,,,,
300,45,247,,,,
301,57,248,,,,
301,56,248,,,,
301,53,248,,,,
301,52,248,,,,
302,57,249,,,,
302,56,249,,,,
302,53,249,,,,
302,52,249,,,,
303,56,250,,,,
303,55,250,,,,
303,54,250,,,,
303,53,250,,,,
304,55,251,,,,
304,54,251,,,,
305,56,252,,,,
305,55,252,,,,
306,57,253,,,,
306,56,253,,,,
307,57,254,,,,
307,56,254,,,,
311,64,258,,,,
311,63,258,,,,
311,60,258,,,,
311,59,258,,,,
311,57,258,,,,
311,56,258,,,,
311,50,258,,,,
311,49,258,,,,
312,64,259,,,,
312,63,259,,,,
312,60,259,,,,
312,59,259,,,,
312,57,259,,,,
312,56,259,,,,
312,50,259,,,,
312,49,259,,,,
313,63,260,,,,
313,62,260,,,,
313,61,260,,,,
313,60,260,,,,
313,56,260,,,,
313,55,260,,,,
313,49,260,,,,
314,48,261,,,,
314,47,261,,,,
314,62,261,,,,
314,61,261,,,,
314,55,261,,,,
314,54,261,,,,
315,48,262,,,,
315,47,262,,,,
315,61,262,,,,
315,60,262,,,,
315,56,262,,,,
315,55,262,,,,
315,54,262,,,,
315,53,262,,,,
316,47,263,,,,
316,46,263,,,,
316,60,263,,,,
316,59,263,,,,
316,57,263,,,,
316,56,263,,,,
316,53,263,,,,
316,52,263,,,,
317,46,264,,,,
317,45,264,,,,
317,60,264,,,,
317,59,264,,,,
317,57,264,,,,
317,56,264,,,,
317,53,264,,,,
317,52,264,,,,
318,46,265,,,,
318,45,265,,,,
319,60,266,,,,
319,59,266,,,,
319,57,266,,,,
319,56,266,,,,
319,53,266,,,,
319,52,266,,,,
319,50,266,,,,
319,49,266,,,,
320,46,267,,,,
320,45,267,,,,
320,60,267,,,,
320,59,267,,,,
320,57,267,,,,
320,56,267,,,,
320,53,267,,,,
320,52,267,,,,
320,50,267,,,,
320,49,267,,,,
321,46,268,,,,
321,45,268,,,,
321,61,268,,,,
321,60,268,,,,
321,56,268,,,,
321,55,268,,,,
321,54,268,,,,
321,53,268,,,,
321,49,268,,,,
322,48,269,,,,
322,47,269,,,,
322,46,269,,,,
322,62,269,,,,
322,61,269,,,,
322,55,269,,,,
322,54,269,,,,
323,48,270,,,,
323,47,270,,,,
323,63,270,,,,
323,62,270,,,,
323,61,270,,,,
323,60,270,,,,
323,56,270,,,,
323,55,270,,,,
323,54,270,,,,
323,53,270,,,,
323,49,270,,,,
324,48,271,,,,
324,64,271,,,,
324,63,271,,,,
324,60,271,,,,
324,59,271,,,,
324,57,271,,,,
324,56,271,,,,
324,53,271,,,,
324,52,271,,,,
324,50,271,,,,
324,49,271,,,,
325,64,272,,,,
325,63,272,,,,
325,60,272,,,,
325,59,272,,,,
325,57,272,,,,
325,56,272,,,,
325,53,272,,,,
325,52,272,,,,
325,50,272,,,,
325,49,272,,,,
